txn-1756534243212-9ur4t1l12,client-1756272833203-r5tlpg06q,,RESET,1000,1000,"Manual credit reset: Total Added = 1000, Total Used = 0",MANUAL,,2025-08-30 06:10:43.212,Sujatha Gold Covering Works,,,,
txn-1756801015911-mytmhzptd,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4809,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:16:55.911,Unknown Client,,,,
txn-1756801030295-jtxjfu9ur,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4808,Order creation,ORDER,166,2025-09-02 08:17:10.295,Unknown Client,,,,
txn-1756801281256-bv4i8x2xp,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4807,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:21:21.256,Unknown Client,,,,
txn-1756801295499-1r17yfq1j,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4806,Order creation,ORDER,167,2025-09-02 08:21:35.499,Unknown Client,,,,
txn-1756801362293-c9bxydkty,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4805,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:22:42.293,Unknown Client,,,,
txn-1756801530262-twb0f5lq1,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4804,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:25:30.262,Unknown Client,,,,
txn-1756802194820-labxrfxhd,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4803,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:36:34.82,Unknown Client,,,,
txn-1756802241203-m74bgo24x,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4802,Order creation,ORDER,168,2025-09-02 08:37:21.203,Unknown Client,,,,
txn-1756802382442-zmqsotu9y,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4801,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:39:42.442,Unknown Client,,,,
txn-1756802398006-hkfmwj0v9,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4800,Order creation,ORDER,169,2025-09-02 08:39:58.006,Unknown Client,,,,
txn-1756802493901-lfh5n1q81,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4799,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:41:33.901,Unknown Client,,,,
txn-1756802505735-0dx7ui4ap,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4798,Order creation,ORDER,170,2025-09-02 08:41:45.735,Unknown Client,,,,
txn-1756802602460-t8hoova3b,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4797,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:43:22.461,Unknown Client,,,,
txn-1756802639432-hj8xvu7mg,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4796,Order creation,ORDER,171,2025-09-02 08:43:59.432,Unknown Client,,,,
txn-1756802705572-y5oenwng5,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4795,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:45:05.572,Unknown Client,,,,
txn-1756802716768-kxgf05zbc,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4794,Order creation,ORDER,172,2025-09-02 08:45:16.768,Unknown Client,,,,
txn-1756802781143-slq89wd16,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,995,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:46:21.143,Unknown Client,,,,
txn-1756802791296-c4419kni5,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,994,Order creation,ORDER,173,2025-09-02 08:46:31.296,Unknown Client,,,,
txn-1756802814779-rtoft96a7,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,993,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:46:54.779,Unknown Client,,,,
txn-1756802819843-84xdu2yeb,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,992,Order creation,ORDER,174,2025-09-02 08:46:59.843,Unknown Client,,,,
txn-1756802840729-984eypkog,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,991,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:47:20.729,Unknown Client,,,,
txn-1756802843211-efirk85go,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4793,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:47:23.211,Unknown Client,,,,
txn-1756802846548-sliwhdmhf,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,990,Order creation,ORDER,175,2025-09-02 08:47:26.549,Unknown Client,,,,
txn-1756802862243-0mczxnct8,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,989,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:47:42.243,Unknown Client,,,,
txn-1756802867900-9sgx4v3ai,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,988,Order creation,ORDER,176,2025-09-02 08:47:47.9,Unknown Client,,,,
txn-1756802879272-sfid92jew,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,987,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:47:59.273,Unknown Client,,,,
txn-1756802886664-eockf4fld,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,986,Order creation,ORDER,177,2025-09-02 08:48:06.664,Unknown Client,,,,
txn-1756802901440-63vmb1hlo,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,985,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:48:21.44,Unknown Client,,,,
txn-1756802907264-4y6g5bo1z,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,984,Order creation,ORDER,178,2025-09-02 08:48:27.264,Unknown Client,,,,
txn-1756802921777-ybr8k4qrj,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,983,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:48:41.777,Unknown Client,,,,
txn-1756802927930-gsq3f4lqb,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,982,Order creation,ORDER,179,2025-09-02 08:48:47.93,Unknown Client,,,,
txn-1756802945469-hpjscz5ye,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,981,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:49:05.469,Unknown Client,,,,
txn-1756802952626-td42nqep0,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,980,Order creation,ORDER,180,2025-09-02 08:49:12.626,Unknown Client,,,,
txn-1756802965698-kp1w78s60,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,979,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:49:25.698,Unknown Client,,,,
txn-1756802974447-mi70vizvg,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,978,Order creation,ORDER,181,2025-09-02 08:49:34.447,Unknown Client,,,,
txn-1756802985665-jypbdxexs,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,977,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:49:45.665,Unknown Client,,,,
txn-1756803087031-i5nc4qum5,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4792,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:51:27.031,Unknown Client,,,,
txn-1756803095664-6np8za38t,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4791,Order creation,ORDER,182,2025-09-02 08:51:35.664,Unknown Client,,,,
txn-1756803154473-89wgkwcuh,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,976,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:52:34.473,Unknown Client,,,,
txn-1756803169749-6wlt1tj92,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,975,Order creation,ORDER,183,2025-09-02 08:52:49.749,Unknown Client,,,,
txn-1756803186964-6zvolrmf4,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,974,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:53:06.964,Unknown Client,,,,
txn-1756803192867-31ubnbh3b,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,973,Order creation,ORDER,184,2025-09-02 08:53:12.867,Unknown Client,,,,
txn-1756803225792-t35ommqk0,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,972,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:53:45.792,Unknown Client,,,,
txn-1756803232105-5x0q5481d,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,971,Order creation,ORDER,185,2025-09-02 08:53:52.105,Unknown Client,,,,
txn-1756803251291-1w3yilj80,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,970,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:54:11.291,Unknown Client,,,,
txn-1756803256514-bk20erag6,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,969,Order creation,ORDER,186,2025-09-02 08:54:16.514,Unknown Client,,,,
txn-1756803269835-8oy1d7t1q,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,968,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:54:29.835,Unknown Client,,,,
txn-1756803277878-9m4fqle5x,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,967,Order creation,ORDER,187,2025-09-02 08:54:37.878,Unknown Client,,,,
txn-1756803303337-lj0mj1jw6,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,966,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:55:03.337,Unknown Client,,,,
txn-1756803308745-2q9cxcgx5,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,965,Order creation,ORDER,188,2025-09-02 08:55:08.745,Unknown Client,,,,
txn-1756803323235-onyxotzvt,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,964,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:55:23.235,Unknown Client,,,,
txn-1756803335124-ers5c4xjf,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,963,Order creation,ORDER,189,2025-09-02 08:55:35.124,Unknown Client,,,,
txn-1756803366898-vfon1zmnc,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,962,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:56:06.898,Unknown Client,,,,
txn-1756803372171-jeibfiat7,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,961,Order creation,ORDER,190,2025-09-02 08:56:12.171,Unknown Client,,,,
txn-1756803390340-7q2zev851,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,960,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:56:30.34,Unknown Client,,,,
txn-1756803395951-zbwko7csw,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,959,Order creation,ORDER,191,2025-09-02 08:56:35.951,Unknown Client,,,,
txn-1756803425264-v8k8k8oq6,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,958,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:57:05.264,Unknown Client,,,,
txn-1756803470096-jf3dz4zs6,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,957,Order creation,ORDER,192,2025-09-02 08:57:50.096,Unknown Client,,,,
txn-1756803507368-z12wltmu2,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,956,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:58:27.368,Unknown Client,,,,
txn-1756803513550-fujgufzyc,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,955,Order creation,ORDER,193,2025-09-02 08:58:33.55,Unknown Client,,,,
txn-1756803533044-3n1neh6jg,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,954,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:58:53.044,Unknown Client,,,,
txn-1756803539597-1q5f4unl7,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,953,Order creation,ORDER,194,2025-09-02 08:58:59.597,Unknown Client,,,,
txn-1756803555603-ychi4xo5l,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,952,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:59:15.603,Unknown Client,,,,
txn-1756803612163-m9k2lpadt,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,951,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:00:12.163,Unknown Client,,,,
txn-1756803619869-0221s98cj,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,950,Order creation,ORDER,195,2025-09-02 09:00:19.869,Unknown Client,,,,
txn-1756803636244-488yicik8,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,949,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:00:36.244,Unknown Client,,,,
txn-1756803643202-63srmet1n,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,948,Order creation,ORDER,196,2025-09-02 09:00:43.202,Unknown Client,,,,
txn-1756803691188-ch1yhmvpn,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,947,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:01:31.188,Unknown Client,,,,
txn-1756803698161-hxgexteqt,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,946,Order creation,ORDER,197,2025-09-02 09:01:38.161,Unknown Client,,,,
txn-1756803713169-mwyzc9wez,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,945,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:01:53.169,Unknown Client,,,,
txn-1756803721119-a5ugrtfzf,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,944,Order creation,ORDER,198,2025-09-02 09:02:01.119,Unknown Client,,,,
txn-1756803738168-j3n3xiadd,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,943,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:02:18.168,Unknown Client,,,,
txn-1756803744883-h0n8rmy12,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,942,Order creation,ORDER,199,2025-09-02 09:02:24.883,Unknown Client,,,,
txn-1756803750823-3lrkvr5nj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4790,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:02:30.823,Unknown Client,,,,
txn-1756803763408-cvb2j2a4c,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,941,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:02:43.408,Unknown Client,,,,
txn-1756803769801-1kn4m4mpj,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,940,Order creation,ORDER,200,2025-09-02 09:02:49.801,Unknown Client,,,,
txn-1756803770572-q0wgcbx3a,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4789,Order creation,ORDER,201,2025-09-02 09:02:50.572,Unknown Client,,,,
txn-1756803785055-2gwmen9xq,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,939,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:03:05.055,Unknown Client,,,,
txn-1756803790933-lgndn5jgx,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,938,Order creation,ORDER,202,2025-09-02 09:03:10.933,Unknown Client,,,,
txn-1756803812621-lhnspc6aw,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,937,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:03:32.621,Unknown Client,,,,
txn-1756803818083-ot6f0h95n,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,936,Order creation,ORDER,203,2025-09-02 09:03:38.083,Unknown Client,,,,
txn-1756803831812-2p93rnk6h,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,935,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:03:51.812,Unknown Client,,,,
txn-1756803841560-kpr7bzukh,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,934,Order creation,ORDER,204,2025-09-02 09:04:01.56,Unknown Client,,,,
txn-1756803859850-m3cju1npe,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,933,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:04:19.85,Unknown Client,,,,
txn-1756803865927-hicmqr1ce,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,932,Order creation,ORDER,205,2025-09-02 09:04:25.927,Unknown Client,,,,
txn-1756803889223-h8tin8m9j,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,931,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:04:49.223,Unknown Client,,,,
txn-1756803925231-gkxrjl0ej,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,930,Order creation,ORDER,206,2025-09-02 09:05:25.231,Unknown Client,,,,
txn-1756803926473-pva1bns6z,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4788,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:05:26.473,Unknown Client,,,,
txn-1756803939668-pxqy1udr7,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,929,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:05:39.668,Unknown Client,,,,
txn-1756803945238-beqde9w3v,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,928,Order creation,ORDER,207,2025-09-02 09:05:45.238,Unknown Client,,,,
txn-1756803946258-r72silhz9,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4787,Order creation,ORDER,208,2025-09-02 09:05:46.258,Unknown Client,,,,
txn-1756803966396-ip5kwk7oi,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,927,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:06:06.396,Unknown Client,,,,
txn-1756803972364-l6k40ojuq,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,926,Order creation,ORDER,209,2025-09-02 09:06:12.364,Unknown Client,,,,
txn-1756803987822-fee1c4ikh,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,925,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:06:27.822,Unknown Client,,,,
txn-1756803994890-04wxu4pmt,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,924,Order creation,ORDER,210,2025-09-02 09:06:34.89,Unknown Client,,,,
txn-1756804019882-tx0ndm71m,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,923,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:06:59.882,Unknown Client,,,,
txn-1756804026504-thc7qtqp7,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,922,Order creation,ORDER,211,2025-09-02 09:07:06.504,Unknown Client,,,,
txn-1756804041312-c86aka9w9,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,921,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:07:21.312,Unknown Client,,,,
txn-1756804046498-7rbgi3ca8,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,920,Order creation,ORDER,212,2025-09-02 09:07:26.498,Unknown Client,,,,
txn-1756804057637-afwzt9kff,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,919,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:07:37.637,Unknown Client,,,,
txn-1756804063047-swt5e55xs,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,918,Order creation,ORDER,213,2025-09-02 09:07:43.047,Unknown Client,,,,
txn-1756804077274-igzj1vx2c,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,917,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:07:57.274,Unknown Client,,,,
txn-1756804083011-zdnigrq4q,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,916,Order creation,ORDER,214,2025-09-02 09:08:03.011,Unknown Client,,,,
txn-1756804099412-rkrlew9ud,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,915,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:08:19.412,Unknown Client,,,,
txn-1756804104574-zni9zsl1c,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,914,Order creation,ORDER,215,2025-09-02 09:08:24.574,Unknown Client,,,,
txn-1756804123249-0lfhk71hz,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,913,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:08:43.249,Unknown Client,,,,
txn-1756804131272-ydxfqh959,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,912,Order creation,ORDER,216,2025-09-02 09:08:51.272,Unknown Client,,,,
txn-1756804139908-pwn9awse0,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,2,4785,AI Usage in Order reference,IMAGE_PROCESSING,,2025-09-02 09:08:59.908,Unknown Client,,,,
txn-1756804161470-ua6mfv5zj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4784,Order creation,ORDER,217,2025-09-02 09:09:21.47,Unknown Client,,,,
txn-1756804171160-jzps7cnbz,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,911,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:09:31.16,Unknown Client,,,,
txn-1756804177272-zwyw1plsl,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,910,Order creation,ORDER,218,2025-09-02 09:09:37.272,Unknown Client,,,,
txn-1756804196174-mckbfas45,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,909,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:09:56.174,Unknown Client,,,,
txn-1756804200946-t1skupl7d,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,908,Order creation,ORDER,219,2025-09-02 09:10:00.946,Unknown Client,,,,
txn-1756804230881-hzbxtfskq,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4783,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:10:30.881,Unknown Client,,,,
txn-1756804232656-tk0biblpx,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,907,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:10:32.656,Unknown Client,,,,
txn-1756804238796-odtzbiarz,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,906,Order creation,ORDER,220,2025-09-02 09:10:38.796,Unknown Client,,,,
txn-1756804267050-t2fsa4inc,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,905,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:11:07.05,Unknown Client,,,,
txn-1756804272594-y9bfvui12,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,904,Order creation,ORDER,221,2025-09-02 09:11:12.594,Unknown Client,,,,
txn-1756804274518-gz3esemvz,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4782,Order creation,ORDER,222,2025-09-02 09:11:14.518,Unknown Client,,,,
txn-1756804360168-6cw5iuizo,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4781,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:12:40.168,Unknown Client,,,,
txn-1756804388868-8ezqnwbpj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4780,Order creation,ORDER,223,2025-09-02 09:13:08.868,Unknown Client,,,,
txn-1756805768588-8wbx658s0,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4779,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:36:08.588,Unknown Client,,,,
txn-1756805776791-bswn5wiq7,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4778,Order creation,ORDER,224,2025-09-02 09:36:16.791,Unknown Client,,,,
txn-1756805892049-o91jtv74m,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4777,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:38:12.049,Unknown Client,,,,
txn-1756805899701-9u7yelbz3,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4776,Order creation,ORDER,225,2025-09-02 09:38:19.701,Unknown Client,,,,
txn-1756806203737-elj2paqdr,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4775,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:43:23.737,Unknown Client,,,,
txn-1756806237880-g91vnmwpp,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4774,Order creation,ORDER,226,2025-09-02 09:43:57.88,Unknown Client,,,,
txn-1756806299642-kemi74ifj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4773,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:44:59.642,Unknown Client,,,,
txn-1756806305295-svbmcbpc1,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4772,Order creation,ORDER,227,2025-09-02 09:45:05.295,Unknown Client,,,,
txn-1756806389117-d3hs61o6b,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4771,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 09:46:29.117,Unknown Client,,,,
